"";"Date";"data_num";"Obrigacoes"
"1";2017-01-01;"20170101";347051678,26904
"2";2017-01-02;"20170102";347046209,55904
"3";2017-01-03;"20170103";347040709,55904
"4";2017-01-04;"20170104";344876432,77088
"5";2017-01-05;"20170105";344354901,41088
"6";2017-01-06;"20170106";344354901,41088
"7";2017-01-07;"20170107";344354901,41088
"8";2017-01-08;"20170108";344354901,41088
"9";2017-01-09;"20170109";342563146,89679
"10";2017-01-10;"20170110";342648110,26679
"11";2017-01-11;"20170111";342141863,09679
"12";2017-01-12;"20170112";342522235,56679
"13";2017-01-13;"20170113";342338640,32088
"14";2017-01-14;"20170114";342338640,32088
"15";2017-01-15;"20170115";342338640,32088
"16";2017-01-16;"20170116";344474340,98088
"17";2017-01-17;"20170117";344837731,99088
"18";2017-01-18;"20170118";344378056,79624
"19";2017-01-19;"20170119";344381756,79624
"20";2017-01-20;"20170120";344378344,29624
"21";2017-01-21;"20170121";344378344,29624
"22";2017-01-22;"20170122";344378344,29624
"23";2017-01-23;"20170123";345676657,03624
"24";2017-01-24;"20170124";345614795,35624
"25";2017-01-25;"20170125";345216014,77624
"26";2017-01-26;"20170126";360982555,53624
"27";2017-01-27;"20170127";361910208,01624
"28";2017-01-28;"20170128";361910208,01624
"29";2017-01-29;"20170129";361910208,01624
"30";2017-01-30;"20170130";361883557,94624
"31";2017-01-31;"20170131";411543310,61624
"32";2017-02-01;"20170201";386259914,49624
"33";2017-02-02;"20170202";348004674,90624
"34";2017-02-03;"20170203";346646106,738402
"35";2017-02-04;"20170204";346646106,738402
"36";2017-02-05;"20170205";346646106,738402
"37";2017-02-06;"20170206";348464779,775709
"38";2017-02-07;"20170207";348139054,113386
"39";2017-02-08;"20170208";348438227,68641
"40";2017-02-09;"20170209";348412076,134608
"41";2017-02-10;"20170210";348432277,743308
"42";2017-02-11;"20170211";348432277,743308
"43";2017-02-12;"20170212";348432277,743308
"44";2017-02-13;"20170213";348589836,833308
"45";2017-02-14;"20170214";349589859,583308
"46";2017-02-15;"20170215";349590259,583308
"47";2017-02-16;"20170216";347931838,543308
"48";2017-02-17;"20170217";346596840,853308
"49";2017-02-18;"20170218";346596840,853308
"50";2017-02-19;"20170219";346596840,853308
"51";2017-02-20;"20170220";361722004,723308
"52";2017-02-21;"20170221";362978153,163308
"53";2017-02-22;"20170222";363461063,163308
"54";2017-02-23;"20170223";363225843,283308
"55";2017-02-24;"20170224";346790319,442315
