Órgão UGE Código;Órgão UGE Nome;Dia Lançamento;Item Informação;Saldo R$ (Item Informação)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;000/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);169.658,25
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);7.896.956,90
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;000/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);40.727.476,38
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);17.380.323,49
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);16.954.809,73
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;000/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);9.244.605,11
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);834.929,12
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;000/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);347.051.678,27
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);251.512.690,62
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;000/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);57.921.389,63
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);87.411.150,44
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;000/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);123.641,83
24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);7.344.046,39
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;000/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);308.160.875,00
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);410.146.032,28
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;000/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);265.826,17
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);4.708.508.428,92
41232;FUNDO DE UNIVERS.DOS SERV.DE TELECOMUNICACOES;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);4.747.196,77
41903;FUNDO P/O DESENV.TECNOL.DAS TELECOMUNICACOES;000/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);9.668.447,94
41903;FUNDO P/O DESENV.TECNOL.DAS TELECOMUNICACOES;000/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);1.624.625,55
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/01/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);170,80
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/01/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);19.200,00
20402;AGENCIA ESPACIAL BRASILEIRA - AEB;01/01/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);6.285,00
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/01/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);21.194,00
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;01/01/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);2.359,35
24901;FUNDO NAC.DE DESENV. CIENTIFICO E TECNOLOGICO;01/01/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);200.000,00
41231;AGENCIA NACIONAL DE TELECOMUNICACOES;01/01/2018;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);180,69
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/02/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(251.486,15)
20301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;01/02/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(5.590.921,10)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/02/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(3.619.421,26)
20302;NUCLEBRAS EQUIPAMENTOS PESADOS S/A;01/02/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(406.850,77)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/02/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(243.519,60)
20303;INDUSTRIAS NUCLEARES DO BRASIL S/A;01/02/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);(643.640,61)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/02/2017;VALORES LIQUIDADOS A PAGAR (EXERCICIO + RP);(25.283.396,12)
20501;CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO;01/02/2017;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);62.651.145,29
