ID_ANO_LANC;ID_MES_LANC;ID_DIA_LANC;NO_DIA_COMPLETO;ID_ITEM_INFORMACAO;NO_ITEM_INFORMACAO;CO_ITEM_INFORMACAO;ID_FONTE_RECURSO;CO_FONTE_RECURSO;NO_FONTE_RECURSO;ID_UG;CO_UG;NO_UG;SALDORITEMINFORMAO
2017;9;19;19/09/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;200320;200320;FUNDO NACIONAL DE SEG. E EDUCACAO DE TRANSITO;-15643.480000
2018;3;13;13/03/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560008;560008;SECRETARIA NACIONAL DE DESENVOLVIMENTO URBANO;-1563.120000
2017;1;12;12/01/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275079;275079;CIA. BRASILEIRA DE TRENS URBANOS - STU/JOP;2580.900000
2017;10;27;27/10/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;80;80;RECURSOS FINANCEIROS DIRETAMENTE ARRECADADOS;275060;275060;EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A;-47599.140000
2017;12;15;15/12/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;275060;275060;EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A;-45302.270000
2018;3;5;05/03/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560010;560010;COORDENACAO-GERAL DE RECURSOS LOGISTICOS/MCID;840022.760000
2018;2;15;15/02/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;175004;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;92017.260000
2018;4;6;06/04/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560008;560008;SECRETARIA NACIONAL DE DESENVOLVIMENTO URBANO;18869.560000
2018;8;2;02/08/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560008;560008;SECRETARIA NACIONAL DE DESENVOLVIMENTO URBANO;-1598.500000
2017;8;19;19/08/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;90;90;RECURSOS DIVERSOS;175004;175004;CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS;174608.130000
2018;6;13;13/06/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560005;560005;SECRETARIA NACIONAL DE HABITACAO;1809298.000000
2017;9;26;26/09/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;241099.050000
2018;7;3;03/07/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560011;560011;COORDENACAO-GERAL DE RECURSOS HUMANOS/MCID;-137436.080000
2018;6;7;07/06/2018;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;0;00;RECURSOS ORDINARIOS;560005;560005;SECRETARIA NACIONAL DE HABITACAO;414.660000
2017;8;31;31/08/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;81;81;RECURSOS DE CONVENIOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;-5800.000000
2017;7;28;28/07/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;50;50;RECURSOS NAO-FINANCEIROS DIRETAM. ARRECADADOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;475101.040000
2017;12;27;27/12/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;81;81;RECURSOS DE CONVENIOS;275057;275057;CIA.BRASILEIRA DE TRENS URBANOS-STU/REC;-7000.000000
2017;8;29;29/08/2017;502;LIMITES DE SAQUE (OFSS, DIVIDA, BACEN E PREV);71;80;80;RECURSOS FINANCEIROS DIRETAMENTE ARRECADADOS;275060;275060;EMPRESA DE TRENS URBANOS DE PORTO ALEGRE S/A;363159.120000
