"";"mes";"codOrgao";"Caixa";"Obrigacoes";"Saldo"
"1";"2017 1";"20301";9848610,92;2109879,94;7738730,98
"2";"2017 1";"20302";19990377,74;45280657,82;-25290280,08
"3";"2017 1";"20303";16380123,79;10621665,83;5758457,96
"4";"2017 1";"20402";1037850,03;7,27595761418343e-12;1037850,03
"5";"2017 1";"20501";254293497,37;411543310,61624;-157249813,24624
"6";"2017 1";"24000";223220610,84;59405505,49;163815105,35
"7";"2017 1";"24209";4368393,81;1415318,75;2953075,06
"8";"2017 1";"24901";395783230,47;270098440,72;125684789,75
"9";"2017 1";"41231";4710364559,33;3362246,84;4707002312,49
"10";"2017 1";"41232";4747196,77;0;4747196,77
"11";"2017 1";"41903";949090,66;8992913,05;-8043822,39
"12";"2017 2";"20301";9284792,09;4984994,8;4299797,29
"13";"2017 2";"20302";24101576,45;47077065,69;-22975489,24
"14";"2017 2";"20303";11154345,15;12062405,16;-908060,010000004
"15";"2017 2";"20402";5336619,81;3954,44000000001;5332665,37
"16";"2017 2";"20501";291354362,42;346790319,442315;-55435957,022315
"17";"2017 2";"24000";163283392,27;58698735,57;104584656,7
"18";"2017 2";"24209";2192129,81;1524193,92;667935,889999999
"19";"2017 2";"24901";366033282,65;221448138,32;144585144,33
"20";"2017 2";"41231";4709703857,8;663156,470000001;4709040701,33
"21";"2017 2";"41232";4747196,77;0;4747196,77
"22";"2017 2";"41903";713991,28;8757813,67;-8043822,39
"23";"2017 3";"20301";9932809,61;6345162,44;3587647,17
"24";"2017 3";"20302";22499175,55;40414141,76;-17914966,21
"25";"2017 3";"20303";6363437,87;11934641,54;-5571203,67
"26";"2017 3";"20402";1922776,8;6454,20000000013;1916322,6
"27";"2017 3";"20501";270022611,7;409879889,521231;-139857277,821231
"28";"2017 3";"24000";142010684,41;62899525,7;79111158,71
"29";"2017 3";"24209";2347674,47;1643583,56;704090,909999999
"30";"2017 3";"24901";451209788,74;190020388,82;261189399,92
"31";"2017 3";"41231";4713137179,46;128477,750000002;4713008701,71
"32";"2017 3";"41232";4747196,77;0;4747196,77
"33";"2017 3";"41903";631091,28;7257813,67;-6626722,39
"34";"2017 4";"20301";8472023,35;5304583,27;3167440,08
"35";"2017 4";"20302";20680490,74;39108110,48;-18427619,74
"36";"2017 4";"20303";4749013,42;10875728,79;-6126715,37
"37";"2017 4";"20402";1869805,23;3954,44000000013;1865850,79
"38";"2017 4";"20501";264879679,21;378948322,679439;-114068643,469439
"39";"2017 4";"24000";229368567,68;54730598,57;174637969,11
"40";"2017 4";"24209";2772687,86;1462405,12;1310282,74
"41";"2017 4";"24901";479518616,49;201478239,15;278040377,34
"42";"2017 4";"41231";4713856619,76;198187,800000004;4713658431,96
"43";"2017 4";"41232";4747196,77;0;4747196,77
"44";"2017 4";"41903";631091,28;7907813,67;-7276722,39
"45";"2017 5";"20301";11234429,41;6588817,39;4645612,02
"46";"2017 5";"20302";25242308,88;35893122,91;-10650814,03
"47";"2017 5";"20303";5352988,31000001;12663646,52;-7310658,20999999
"48";"2017 5";"20402";2307795,58;1,28125066112261e-10;2307795,58
"49";"2017 5";"20501";257254843,61;355356272,812203;-98101429,202203
"50";"2017 5";"24000";65597902,24;155747273,62;-90149371,38
"51";"2017 5";"24209";4226749,09;1625561,07;2601188,02
"52";"2017 5";"24901";483519681,17;231534440,45;251985240,72
"53";"2017 5";"41231";4716228154,03;1480244,04000001;4714747909,99
"54";"2017 5";"41232";4747196,77;0;4747196,77
"55";"2017 5";"41903";631091,28;7907813,67;-7276722,39
"56";"2017 6";"20301";9500810,77;4797665,61000001;4703145,15999999
"57";"2017 6";"20302";22147657,04;33239523,21;-11091866,17
"58";"2017 6";"20303";50699799,32;14374124,9;36325674,42
"59";"2017 6";"20402";1181066,2;34665,2500000001;1146400,95
"60";"2017 6";"20501";294207861,1;373823122,705337;-79615261,605337
"61";"2017 6";"24000";192721574,69;50589966,85;142131607,84
"62";"2017 6";"24209";2772556,02;1638693,91;1133862,11
"63";"2017 6";"24901";475823374,2;212754315,73;263069058,47
"64";"2017 6";"41231";4716640745,06;2647009,07;4713993735,99
"65";"2017 6";"41232";4747196,77;0;4747196,77
"66";"2017 6";"41903";631091,28;10557813,67;-9926722,39
"67";"2017 7";"20301";11795987,79;6479758,01000001;5316229,77999999
"68";"2017 7";"20302";22519978,85;33841550,66;-11321571,81
"69";"2017 7";"20303";18725787,13;11378888,97;7346898,16000001
"70";"2017 7";"20402";4522937,02;2,68187250185292e-10;4522937,02
"71";"2017 7";"20501";271951299,42;473312332,638792;-201361033,218792
"72";"2017 7";"24000";93793501,09;49363499,79;44430001,3
"73";"2017 7";"24209";3497471,04;1110007,09;2387463,95
"74";"2017 7";"24901";296426268,21;336028641,84;-39602373,63
"75";"2017 7";"41231";4692821742,47;105869,670000003;4692715872,8
"76";"2017 7";"41232";4747196,77;0;4747196,77
"77";"2017 7";"41903";4123673,42;10557813,67;-6434140,25
"78";"2017 8";"20301";10858177,24;5825592,97;5032584,27
"79";"2017 8";"20302";25885504,13;24712909,11;1172595,01999999
"80";"2017 8";"20303";10852445,37;15768191,3;-4915745,92999999
"81";"2017 8";"20402";1062430,48;2,68187250185292e-10;1062430,48
"82";"2017 8";"20501";272432298,93;555544320,300288;-283112021,370288
"83";"2017 8";"24000";153931311,72;48681075,73;105250235,99
"84";"2017 8";"24209";3221185,58;1904672;1316513,58
"85";"2017 8";"24901";270576794,2;318320540,77;-47743746,57
"86";"2017 8";"41231";4693859618,13;574001,810000003;4693285616,32
"87";"2017 8";"41232";4747196,77;0;4747196,77
"88";"2017 8";"41903";123673,42;2814839,09;-2691165,67
"89";"2017 9";"20301";7956729,09;5095331,88;2861397,21
"90";"2017 9";"20302";23393692,45;25132498,18;-1738805,73000001
"91";"2017 9";"20303";9795824,96;15111123,13;-5315298,16999999
"92";"2017 9";"20402";2828214,86;2,68187250185292e-10;2828214,86
"93";"2017 9";"20501";277001819,97;453974982,385488;-176973162,415488
"94";"2017 9";"24000";589115320,8;55365299,31;533750021,49
"95";"2017 9";"24209";2448439,68;1353595,01;1094844,67
"96";"2017 9";"24901";356390376,02;1182386863,4;-825996487,38
"97";"2017 9";"41231";4693421140,98;109780,360000006;4693311360,62
"98";"2017 9";"41232";4747196,77;0;4747196,77
"99";"2017 9";"41903";123673,42;2814839,09;-2691165,67
"100";"2017 10";"20301";10447496,08;6366658,57;4080837,51
"101";"2017 10";"20302";22000081,67;30028424,7;-8028343,03000001
"102";"2017 10";"20303";10421253,69;14343684,96;-3922431,26999999
"103";"2017 10";"20402";1719086,56;2,68187250185292e-10;1719086,56
"104";"2017 10";"20501";253063728,14;542003123,057971;-288939394,917971
"105";"2017 10";"24000";202938225;53799944,52;149138280,48
"106";"2017 10";"24209";1579869,78;1318181,31;261688,47
"107";"2017 10";"24901";250073531,69;302464625,83;-52391094,14
"108";"2017 10";"41231";4692133007,25;124778,580000004;4692008228,67
"109";"2017 10";"41232";4747196,77;0;4747196,77
